##        Q2         GEp/GD        dGEp/GD    GEp/GD(all)       GMp/muGD      dGMp/muGD dGMp/muGD(all)     GEp/GD(Mz)   GMp/muGD(Mz)
  1.0000e-06   9.999998e-01   1.813627e-07   9.999998e-01   9.999997e-01   2.639784e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.0116e-06   9.999998e-01   1.834627e-07   9.999998e-01   9.999997e-01   2.670350e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.0233e-06   9.999998e-01   1.855870e-07   9.999998e-01   9.999997e-01   2.701270e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.0351e-06   9.999998e-01   1.877360e-07   9.999998e-01   9.999997e-01   2.732549e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.0471e-06   9.999998e-01   1.899098e-07   9.999998e-01   9.999997e-01   2.764189e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.0593e-06   9.999998e-01   1.921087e-07   9.999998e-01   9.999997e-01   2.796196e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.0715e-06   9.999998e-01   1.943332e-07   9.999998e-01   9.999997e-01   2.828573e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.0839e-06   9.999998e-01   1.965834e-07   9.999998e-01   9.999997e-01   2.861325e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.0965e-06   9.999998e-01   1.988596e-07   9.999998e-01   9.999997e-01   2.894457e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.1092e-06   9.999998e-01   2.011622e-07   9.999998e-01   9.999997e-01   2.927972e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.1220e-06   9.999998e-01   2.034915e-07   9.999998e-01   9.999997e-01   2.961875e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.1350e-06   9.999998e-01   2.058477e-07   9.999998e-01   9.999997e-01   2.996171e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.1482e-06   9.999998e-01   2.082312e-07   9.999998e-01   9.999997e-01   3.030863e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.1614e-06   9.999998e-01   2.106424e-07   9.999998e-01   9.999997e-01   3.065958e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.1749e-06   9.999998e-01   2.130814e-07   9.999998e-01   9.999997e-01   3.101459e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.1885e-06   9.999998e-01   2.155487e-07   9.999998e-01   9.999997e-01   3.137370e-07   9.999997e-01   9.999998e-01   9.999997e-01
  1.2023e-06   9.999997e-01   2.180445e-07   9.999997e-01   9.999997e-01   3.173698e-07   9.999997e-01   9.999997e-01   9.999997e-01
  1.2162e-06   9.999997e-01   2.205692e-07   9.999997e-01   9.999997e-01   3.210446e-07   9.999997e-01   9.999997e-01   9.999997e-01
  1.2303e-06   9.999997e-01   2.231232e-07   9.999997e-01   9.999997e-01   3.247620e-07   9.999997e-01   9.999997e-01   9.999997e-01
  1.2445e-06   9.999997e-01   2.257067e-07   9.999997e-01   9.999996e-01   3.285224e-07   9.999996e-01   9.999997e-01   9.999996e-01
  1.2589e-06   9.999997e-01   2.283202e-07   9.999997e-01   9.999996e-01   3.323264e-07   9.999996e-01   9.999997e-01   9.999996e-01
  1.2735e-06   9.999997e-01   2.309639e-07   9.999997e-01   9.999996e-01   3.361744e-07   9.999996e-01   9.999997e-01   9.999996e-01
  1.2882e-06   9.999997e-01   2.336382e-07   9.999997e-01   9.999996e-01   3.400670e-07   9.999996e-01   9.999997e-01   9.999996e-01
  1.3032e-06   9.999997e-01   2.363435e-07   9.999997e-01   9.999996e-01   3.440046e-07   9.999996e-01   9.999997e-01   9.999996e-01
  1.3183e-06   9.999997e-01   2.390801e-07   9.999997e-01   9.999996e-01   3.479878e-07   9.999996e-01   9.999997e-01   9.999996e-01
  1.3335e-06   9.999997e-01   2.418484e-07   9.999997e-01   9.999996e-01   3.520171e-07   9.999996e-01   9.999997e-01   9.999996e-01
  1.3490e-06   9.999997e-01   2.446488e-07   9.999997e-01   9.999996e-01   3.560931e-07   9.999996e-01   9.999997e-01   9.999996e-01
  1.3646e-06   9.999997e-01   2.474815e-07   9.999997e-01   9.999996e-01   3.602163e-07   9.999996e-01   9.999997e-01   9.999996e-01
  1.3804e-06   9.999997e-01   2.503471e-07   9.999997e-01   9.999996e-01   3.643873e-07   9.999996e-01   9.999997e-01   9.999996e-01
  1.3964e-06   9.999997e-01   2.532459e-07   9.999997e-01   9.999996e-01   3.686065e-07   9.999996e-01   9.999997e-01   9.999996e-01
  1.4125e-06   9.999997e-01   2.561782e-07   9.999997e-01   9.999996e-01   3.728745e-07   9.999996e-01   9.999997e-01   9.999996e-01
